0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,学年別週当授業時数,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,1年,1年,1年,1年,2年,2年,2年,2年,3年,3年,3年,3年,4年,4年,4年,4年,5年,5年,5年,5年,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,前,前,後,後,前,前,後,後,前,前,後,後,前,前,後,後,前,前,後,後,担当教員,履修上の区分
科目区分,科目区分,授業科目,科目番号,単位種別,単位数,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,担当教員,履修上の区分
一般,必修,英語(Ｇ)A  英語(Ｇ)A,0026,履修単位,1,2,2,,,,,,,,,,,,,,,,,,,"荒木 英彦,岩崎 洋一,小澤 健志,小川 祐輔",
一般,必修,英語(Ｇ)B  英語(Ｇ)B,0027,履修単位,1,,,2,2,,,,,,,,,,,,,,,,,"荒木 英彦,岩崎 洋一,小澤 健志,小川 祐輔",
一般,必修,英語(ＬＳ)IA  英語(ＬＳ)IA,0028,履修単位,1,2,2,,,,,,,,,,,,,,,,,,,瀨川 直美,
一般,必修,英語(ＬＳ)IB  英語(ＬＳ)IB,0029,履修単位,1,,,2,2,,,,,,,,,,,,,,,,,瀨川 直美,
一般,必修,英語(ＲＷ)IA  英語(ＲＷ)IA,0030,履修単位,1,2,2,,,,,,,,,,,,,,,,,,,小川 祐輔,
一般,必修,英語(ＲＷ)IB  英語(ＲＷ)IB,0031,履修単位,1,,,2,2,,,,,,,,,,,,,,,,,小川 祐輔,
一般,必修,芸術  芸術,0032,履修単位,1,2,2,,,,,,,,,,,,,,,,,,,"岩崎 洋一,馬場 喜久",
一般,必修,国語IA  国語IA,0033,履修単位,1,2,2,,,,,,,,,,,,,,,,,,,加田 謙一郎,
一般,必修,国語IB  国語IB,0034,履修単位,1,,,2,2,,,,,,,,,,,,,,,,,加田 謙一郎,
一般,必修,地理A  地理A,0035,履修単位,1,2,2,,,,,,,,,,,,,,,,,,,"小谷 俊博,川元 豊和",
一般,必修,地理B  地理B,0036,履修単位,1,,,2,2,,,,,,,,,,,,,,,,,"小谷 俊博,川元 豊和",
一般,必修,保健体育IA  保健体育IA,0037,履修単位,1,2,2,,,,,,,,,,,,,,,,,,,"坂田 洋満,清野 哲也,田川 浩子",
