学期,クォーター,週,授業内容,週ごとの到達目標
1週,授業ガイダンス,授業の進め方や授業を受けるにあたっての注意点などを理解する。,,
2週,混合物，物質の分離 元素,純物質と混合物の違いやそれぞれの性質を理解し，混合物の分離・精製の種類や方法について説明できる。 単体と元素の違いや同素体について説明できる。,,
3週,物質の三態 原子の構造,物質の三態とその状態変化について説明できる。 原子の構造について説明できる。原子番号，価電子などの用語を正確に説明できる。,,
4週,イオン 周期表①,イオンについて説明できる。 周期表について説明できる。,,
5週,周期表② 実験の諸注意,周期表について更に理解を深め，主な同属元素や周期表の特徴について説明できる。 次週の実験について，その意図をや注意点を説明できる。,,
6週,物質の分離,炎色反応や沈殿反応など，単体および化合物の成分元素の検出方法について説明できる。 物質の分離などについて実験を通して学び理解する。,,
7週,まとめ，補足 問題演習,,,
8週,前期 中間試験,,,
2ndQ,前期 中間試験,,,
2ndQ,9週,中間試験 返却と解説 イオン結合,イオンの生成について理解し，陽イオンと陰イオンについて説明できる。また，イオン式やイオンの名称を記述でき，イオン結合について説明できる。,
2ndQ,10週,共有結合,共有結合について理解し，説明することができ，構造式や電子式を記述できる。,
2ndQ,11週,分子間力,分子間力について理解し，説明することができ，構造式や電子式を記述できる。,
2ndQ,12週,金属と金属結合,金属原子間の結合や金属結晶について説明できる。,
2ndQ,13週,物質量,,
2ndQ,14週,まとめ，補足 問題演習,,
2ndQ,15週,前期 定期試験,,
2ndQ,16週,定期試験 返却と解説,,
