学期,クォーター,週,授業内容,週ごとの到達目標
1週,授業ガイダンス 事前確認テスト,授業の目標や方法などについて理解する。 授業開始時の英語力を評価する。(MCC),,
2週,・『New FAVORITE』Unit 1_Lesson 1 ・『HyperListening』Lesson 1,・「褒める、勧める、断る」などの表現を英語で聞き、理解する。 ・「進行形の文」を聞き取れるようにする。(MCC),,
3週,・『New FAVORITE』Unit 1_Lesson 1 ・『HyperListening』Lesson 2,・「褒める、勧める、断る」などの表現を英語で聞き、理解する。 ・「形と模様」を理解して聞き取れるようにする。,,
4週,・『New FAVORITE』Unit 1_Lesson 2 ・『HyperListening』Lesson 3,・「提案する、依頼する、説明する」などの表現を英語で聞き、理解する。 ・「禁止」を表す表現を理解し、聞き取れるようにする。(MCC),,
5週,・『New FAVORITE』Unit 1_Lesson 2 ・『HyperListening』Lesson 4,・「提案する、依頼する、説明する」などの表現を英語で聞き、理解する。 ・「長い文」の英語を理解して聞き取れるようにする。(MCC),,
6週,・『New FAVORITE』Unit 1_Lesson 3 ・『HyperListening』Lesson 5,・「紹介する、注意を引く」などの表現を英語で聞き、理解する。 ・「人物描写」の表現を理解し、聞き取れるようにする。(MCC),,
7週,・『New FAVORITE』Unit 1_Lesson 3 ・Review,・「紹介する、注意を引く」などの表現を英語で聞き、理解する。 ・中間試験までの学習範囲の総復習を行い、理解を深める。,,
8週,前期中間試験,,,
2ndQ,前期中間試験,,,
2ndQ,9週,・試験結果の返却と試験問題の解答解説 ・『New FAVORITE』Unit 1_Lesson 4,・中間試験の結果を返却し、間違えた箇所を確認する。 ・「体調を伝える、体調を尋ねる、指示・アドバイスをする」などの表現を英語で聞き、理解する。(MCC),
2ndQ,10週,・『New FAVORITE』Unit 1_Lesson 4 ・『HyperListening』Lesson 6,・「体調を伝える、体調を尋ねる、指示・アドバイスをする」などの表現を英語で聞き、理解する。 ・「順序」を理解し、聞き取れるようにする。(MCC),
2ndQ,11週,・『New FAVORITE』Unit 1_Lesson 5 ・『HyperListening』Lesson 7,・「描写する」表現を英語で聞いて理解し、相づちができるようにする。 ・「不規則動詞の過去形」を理解し、聞き取れるようにする。(MCC),
2ndQ,12週,・『New FAVORITE』Unit 1_Lesson 5 ・『HyperListening』Lesson 8,・描写する英語を聞いて理解し、相づちができるようにする。 ・「イギリス英語」を理解し、聞き取れるようにする。(MCC),
2ndQ,13週,・『New FAVORITE』Unit 1_Lesson 6 ・『HyperListening』Lesson 9,・「希望や理由を述べる」などの表現を英語で聞き、理解する。 ・「位置関係」に関する表現を理解し、聞き取れるようにする。(MCC),
2ndQ,14週,・『New FAVORITE』Unit 1_Lesson 6 ・『HyperListening』Lesson 10,・「希望や理由を述べる」などの表現を英語で聞き、理解する。 ・「時を表す表現」に関する英語を聞き取れるようにする。(MCC) ・中間試験後から期末試験までの学習範囲の総復習をして理解を深める。,
2ndQ,15週,前期定期(期末)試験,,
2ndQ,16週,試験結果の返却と試験問題の解答解説 前期の振り返り,,
